684727,https://techplay.jp/event/684727/,ビッグデータの分析可視化ツール「Tableau」を学ぶ実践4回講座,"
                    2018/08/17
                    19:30〜
                ",,C&R社3号館トレーニングルーム東京都千代田区麹町3-6　 住友不動産麹町ビル3号館4F,"",30
684729,https://techplay.jp/event/684729/,"""コミュニティ2.0""~共創と互助の未来~　Gojoリリース１ヶ月記念 by(株)BrainCat",2018/07/17,19:10〜21:00,TECH PLAY SHIBUYA東京都渋谷区宇田川町20-17 NMF渋谷公園通りビル 8F,23,200
684746,https://techplay.jp/event/684746/,Algorithms Meetup,2018/07/24,19:00〜21:00,Code Chrysalis東京都港区元麻布3-1-35(VORT元麻布B2),2,""
684749,https://techplay.jp/event/684749/,ランキング学習勉強会第2回,2018/07/25,19:00〜21:00,株式会社ロンウイット東京都千代田区神田東紺屋町28-1 (神田EAST 4階),2,12
684754,https://techplay.jp/event/684754/,LINE BOOT AWARDS公式夏期講習 ～Messaging API アップデートハンズオン～,2018/07/28,19:00〜22:00,レバレジーズ株式会社東京都渋谷区渋谷2-21-1 渋谷ヒカリエ,16,60
684755,https://techplay.jp/event/684755/,ホワイトハッカー養成講座　第6回侵入検知入門,2018/07/29,13:30〜16:30,ＭＧＴカレッジ新宿校東京都新宿区西新宿７丁目４番４号(武蔵ビル2Ｆ),4,20
684757,https://techplay.jp/event/684757/,[秋葉原] Unityもくもく勉強会×和尚本振り返り会,2018/07/19,19:30〜22:00,コワーキングスペース秋葉原Weeyble東京都千代田区神田須田町２丁目１９−２３ (野村第３ビル ４階),"",11
684758,https://techplay.jp/event/684758/,スマートスピーカー勉強会 ~音声サービスとその未来~  CEKハンズオン&リーダーズセッション,2018/07/29,13:00〜17:30,LINE株式会社160-0022 東京都新宿区新宿四丁目1番6号 JR新宿ミライナタワー23階LINE Cafe,21,104
684760,https://techplay.jp/event/684760/,わいわいswiftc #4,2018/08/03,19:30〜22:00,株式会社はてな 京都オフィス京都府京都市中京区高宮町206 (御池ビル 8F),"",20
684761,https://techplay.jp/event/684761/,フロントエンドもくもく会 #17,2018/08/08,19:00〜21:00,株式会社スタメン愛知県名古屋市中村区井深町１ 中村区井深町1-1,2,15
